"rn"	"PValue"	"FDR"
"g2767"	0.00134032367658743	0.0160187294958817
"g12034"	0.00135907998856464	0.0160580613140468
"g11754"	0.00136227597434679	0.0160580613140468
"g11023"	0.00144354775555635	0.016900310798044
"g19487"	0.0014993632807482	0.017363298229418
"g7914"	0.00150327218836914	0.017363298229418
"g8699"	0.00152726102377839	0.0175227748128174
"g6732"	0.00158965606754572	0.0181178681605708
"g10785"	0.00163305530656012	0.0184900538328287
"g1306"	0.00167582418842524	0.0188502838449663
"g10696"	0.00173595879995051	0.019399903212434
"g4716"	0.00184614494286649	0.0204981641720854
"g10973"	0.00200777607078029	0.0221498885757235
"g15249"	0.00209323518679775	0.0229455908055982
"g14533"	0.00214582659074111	0.0233732124219332
"g14427"	0.00219414637680713	0.0237492195879564
"g20322"	0.00222166979315823	0.0238968357126582
"g1558"	0.0022508681034865	0.0240605217770203
"g8933"	0.00240379777253927	0.0255366417687659
"g20149"	0.00242812118579166	0.025636788716242
"g8185"	0.00256583540942343	0.0269256264610837
"g11079"	0.00261824660293146	0.0271807725143431
"g8449"	0.00262173633781578	0.0271807725143431
"g18775"	0.0027612602712107	0.028455861836848
"g11192"	0.00279038608300505	0.0285848479098315
"g11367"	0.00297922990179667	0.0303387849762844
"g19600"	0.00302259265879465	0.0305993056810917
"g883"	0.00305469501390363	0.0307434509878839
"g1650"	0.00315937504974821	0.0316121189570737
"g11060"	0.00320517704540347	0.0318850271395339
"g14509"	0.00328633074952612	0.0325044552869796
"g11775"	0.00334605467043435	0.0329060576446716
"g9624"	0.00344264854498558	0.033663625829092
"g14394"	0.00372712096082245	0.0362394077603132
"g10533"	0.0040021317769849	0.0386947684729832
"g18166"	0.00404195671421495	0.0388614944422566
"g877"	0.00406619274959431	0.0388773206780656
"g20078"	0.00418175217064906	0.0394406040730017
"g11032"	0.00419367516887188	0.0394406040730017
"g6588"	0.00419385853884911	0.0394406040730017
"g18587"	0.00434582925921087	0.0406476747559886
"g14593"	0.00437646019207033	0.0407129080570434
"g4862"	0.00443588019495017	0.0410438162124153
"g11645"	0.00471853982028009	0.043425706046535
"g16041"	0.00494406543158632	0.045025688235628
"g9257"	0.00496880608673245	0.045025688235628
"g12563"	0.00498898578932851	0.045025688235628
"g232"	0.00500149155899699	0.045025688235628
"g18872"	0.00503548969831908	0.045025688235628
"g2762"	0.0050493653860989	0.045025688235628
