"","logFC","logCPM","LR","PValue","FDR"
"g8536",-0.534531445836152,6.7567882438616,18.1053954386609,2.09008349542251e-05,0.000486085634543532
"g288",0.494374878163226,6.41870759455814,18.032969945634,2.17112092887788e-05,0.000498199882479845
"g332",0.486868488579174,6.83728437100208,17.7904320772903,2.46620314144199e-05,0.000558465211371271
"g7027",-0.630905113398132,7.54221539486009,17.3273626624807,3.14623758379516e-05,0.0007032045300924
"g21039",-0.785465025422639,6.24652994781256,17.2707023123682,3.24146403169936e-05,0.00071519994853264
"g7242",0.56233289262923,6.21113069069667,17.1635074726134,3.42961896252042e-05,0.000747135979050335
"g7734",0.893367540770377,6.62449939071143,16.9635335209412,3.81047139812709e-05,0.00081972765952209
"g9122",0.49923475814803,6.74087997552846,16.8478756714897,4.04986345623241e-05,0.000860470988663702
"g18943",-0.512442529402849,6.55202127472542,16.5759844680359,4.67391490142299e-05,0.000973917867947396
"g5095",0.475191182843468,6.68522015442422,16.5666452484668,4.69698913652724e-05,0.000973917867947396
"g7165",0.514052582180183,6.92085084853105,16.3217410690367,5.34472226240546e-05,0.00109337270538173
"g16839",-0.731531775914877,7.53069693337048,16.3021881683091,5.40015572094403e-05,0.00109337270538173
"g11975",-0.919636821454903,6.12510802035646,16.2437969127892,5.56916331883156e-05,0.00111448024089641
"g9959",0.441767760860545,6.38740653448403,16.007299585725,6.30987302922885e-05,0.00124819442336814
"g20081",-0.647549591911448,6.43445907041985,15.8485699039345,6.86183737627182e-05,0.00134195705960952
"g16508",0.510215800114797,5.92519517742242,15.651645957727,7.61462792983924e-05,0.00147244659182622
"g12916",-1.20150163607105,5.80823681601494,15.1178341411982,0.000101004577951135,0.00193143198504337
"g2365",-0.499529446319387,6.44793261016838,15.062872210681,0.000103988650945505,0.00196664250854081
"g12983",-2.28491788662281,5.27268612180685,14.948584381523,0.00011048092378596,0.00206671380256126
"g16209",0.478821945805715,5.97453743517266,14.72862490016,0.000124147052146576,0.00224363228057736
"g8754",-0.43814201639263,6.37958233171471,14.7157723787112,0.000124996287587958,0.00224363228057736
"g16564",-0.686627105241563,7.06496581944982,14.7145332220813,0.000125078473818075,0.00224363228057736
"g15398",-0.708559314594712,7.49215761162753,14.7134068896921,0.000125153224250684,0.00224363228057736
"g11790",-0.468293980623842,5.96960465300636,14.4914049582879,0.000140800511602368,0.00247530704614015
"g5100",0.566882803423512,6.80932120678343,14.4893661484211,0.000140952986938835,0.00247530704614015
"g8873",-0.510040416533877,6.77840189716955,14.2675346024998,0.000158576532560928,0.00275666881350865
"g6777",-1.0552527125476,7.16290486164966,14.2055108234907,0.000163889838269371,0.00282054411661587
"g19457",0.919040853263193,9.54476835827957,13.927076940079,0.000190041014711298,0.00323822362691232
"g9494",0.537117258389798,8.19046532283513,13.9054873930555,0.000192236407082788,0.00324351820185762
"g6400",-0.831349765026501,5.56683082389558,13.8585967125004,0.000197093029365782,0.00329317576250982
"g17080",0.687047890370409,5.65549149803621,13.8259936757019,0.000200542507812048,0.00331859284562053
"g5693",0.457747191187432,6.11780095315853,13.5412028767752,0.000233382768349926,0.00376969881275656
"g16424",0.747789802477587,6.79570353131138,13.520072823921,0.000236025257349442,0.00376969881275656
"g20673",-0.759568759676222,5.59509725028114,13.5195185944877,0.000236094972673814,0.00376969881275656
